Date,Open Price
5-Jan-15,2009.9
6-Jan-15,1980
7-Jan-15,1965
8-Jan-15,1985.6
9-Jan-15,1980.1
12-Jan-15,2092
13-Jan-15,2107.8
14-Jan-15,2098.5
15-Jan-15,2135.2
16-Jan-15,2148
19-Jan-15,2120
20-Jan-15,2107
21-Jan-15,2131.5
22-Jan-15,2174.8
23-Jan-15,2200
27-Jan-15,2221
28-Jan-15,2150
29-Jan-15,2145
30-Jan-15,2161.5
2-Feb-15,2141.5
3-Feb-15,2136.85
4-Feb-15,2139.9
5-Feb-15,2150.8
6-Feb-15,2205
9-Feb-15,2200
10-Feb-15,2243
11-Feb-15,2280.5
12-Feb-15,2283
13-Feb-15,2299.6
16-Feb-15,2280.3
18-Feb-15,2290.55
19-Feb-15,2294
20-Feb-15,2328.5
23-Feb-15,2300
24-Feb-15,2279
25-Feb-15,2288.9
26-Feb-15,2307.5
27-Feb-15,2274.9
28-Feb-15,2274.75
2-Mar-15,2303
3-Mar-15,2290
4-Mar-15,2300
5-Mar-15,2267.05
9-Mar-15,2259
10-Mar-15,2198.1
11-Mar-15,2194.1
12-Mar-15,2179
13-Mar-15,2225
16-Mar-15,2210.55
17-Mar-15,2266.65
18-Mar-15,2254.5
19-Mar-15,2234.6
20-Mar-15,2241
23-Mar-15,2253
24-Mar-15,2234.9
25-Mar-15,2222.9
26-Mar-15,2208
27-Mar-15,2164
30-Mar-15,2205.6
31-Mar-15,2245
1-Apr-15,2198.9
6-Apr-15,2179
7-Apr-15,2175
8-Apr-15,2182.5
9-Apr-15,2211.4
10-Apr-15,2210.2
13-Apr-15,2238
15-Apr-15,2236.5
16-Apr-15,2222
17-Apr-15,2180.05
20-Apr-15,2176
21-Apr-15,2148
22-Apr-15,2151.05
23-Apr-15,2148.7
24-Apr-15,2135.9
27-Apr-15,2000
28-Apr-15,1982
29-Apr-15,1960.9
30-Apr-15,1960
4-May-15,1959.5
5-May-15,2000
6-May-15,1975
7-May-15,1922
8-May-15,1958
11-May-15,1965
12-May-15,1993.65
13-May-15,1951.75
14-May-15,1960
15-May-15,1935
18-May-15,1970
19-May-15,1987.3
20-May-15,2040
21-May-15,2048.9
22-May-15,2044
25-May-15,2050.5
26-May-15,2020
27-May-15,2007
28-May-15,1975.2
29-May-15,2004.85
1-Jun-15,2032.8
2-Jun-15,2048.1
3-Jun-15,2018.2
4-Jun-15,2030
5-Jun-15,2030
8-Jun-15,2020
9-Jun-15,2003.75
10-Jun-15,1990
11-Jun-15,2035.95
12-Jun-15,2005
15-Jun-15,976.95
16-Jun-15,994.35
17-Jun-15,1011
18-Jun-15,1005.6
19-Jun-15,1010.3
22-Jun-15,1004.9
23-Jun-15,1025
24-Jun-15,1015
25-Jun-15,999.2
26-Jun-15,999
29-Jun-15,987
30-Jun-15,990
1-Jul-15,989
2-Jul-15,999
3-Jul-15,988
6-Jul-15,985
7-Jul-15,985
8-Jul-15,979
9-Jul-15,957.5
10-Jul-15,948.1
13-Jul-15,941
14-Jul-15,955
15-Jul-15,970
16-Jul-15,987.7
17-Jul-15,991
20-Jul-15,1001.4
21-Jul-15,1035
22-Jul-15,1105
23-Jul-15,1103.95
24-Jul-15,1095.55
27-Jul-15,1086.9
28-Jul-15,1068.5
29-Jul-15,1074
30-Jul-15,1090
31-Jul-15,1078.55
3-Aug-15,1078
4-Aug-15,1078
5-Aug-15,1062
6-Aug-15,1094
7-Aug-15,1079.5
10-Aug-15,1098
11-Aug-15,1098.8
12-Aug-15,1115
13-Aug-15,1147
14-Aug-15,1165
17-Aug-15,1150
18-Aug-15,1150
19-Aug-15,1170
20-Aug-15,1159
21-Aug-15,1140.9
24-Aug-15,1109.95
25-Aug-15,1100
26-Aug-15,1089.8
27-Aug-15,1088
28-Aug-15,1101.6
