Date,Open Price
1-Jan-18,1037.7
2-Jan-18,1037.25
3-Jan-18,1028.5
4-Jan-18,1021
5-Jan-18,1015.3
8-Jan-18,1024.9
9-Jan-18,1040
10-Jan-18,1046.8
11-Jan-18,1055.25
12-Jan-18,1085.8
15-Jan-18,1080
16-Jan-18,1081.25
17-Jan-18,1124.85
18-Jan-18,1145
19-Jan-18,1145
22-Jan-18,1132.15
23-Jan-18,1155
24-Jan-18,1174.8
25-Jan-18,1182
29-Jan-18,1166.55
30-Jan-18,1178.9
31-Jan-18,1159.15
1-Feb-18,1142.2
2-Feb-18,1135.25
5-Feb-18,1140
6-Feb-18,1099.95
7-Feb-18,1116
8-Feb-18,1122.8
9-Feb-18,1118
12-Feb-18,1114.8
14-Feb-18,1106
15-Feb-18,1103
16-Feb-18,1125
19-Feb-18,1128.4
20-Feb-18,1103.75
21-Feb-18,1147.5
22-Feb-18,1145.55
23-Feb-18,1163.5
26-Feb-18,1151
27-Feb-18,1144.95
28-Feb-18,1147.6
1-Mar-18,1169.6
5-Mar-18,1160.75
6-Mar-18,1162.55
7-Mar-18,1155
8-Mar-18,1149
9-Mar-18,1162.35
12-Mar-18,1176
13-Mar-18,1180.2
14-Mar-18,1180
15-Mar-18,1180
16-Mar-18,1182
19-Mar-18,1164
20-Mar-18,1148.6
21-Mar-18,1170
22-Mar-18,1164.5
23-Mar-18,1147
26-Mar-18,1166.9
27-Mar-18,1160
28-Mar-18,1150.75
2-Apr-18,1141
3-Apr-18,1134.7
4-Apr-18,1144
5-Apr-18,1139.55
6-Apr-18,1143
9-Apr-18,1125
10-Apr-18,1112
11-Apr-18,1118
12-Apr-18,1129.45
13-Apr-18,1174
16-Apr-18,1102
17-Apr-18,1127
18-Apr-18,1122.85
19-Apr-18,1124
20-Apr-18,1139
23-Apr-18,1168
24-Apr-18,1185
25-Apr-18,1152
26-Apr-18,1174
27-Apr-18,1180
30-Apr-18,1181.7
2-May-18,1198.9
3-May-18,1197.25
4-May-18,1185
7-May-18,1181.25
8-May-18,1177.9
9-May-18,1167.5
10-May-18,1176
11-May-18,1172.3
14-May-18,1184.35
15-May-18,1188.1
16-May-18,1187.25
17-May-18,1196
18-May-18,1183
21-May-18,1179.55
22-May-18,1175
23-May-18,1195
24-May-18,1198
25-May-18,1230.1
28-May-18,1231
29-May-18,1214.05
30-May-18,1217
31-May-18,1211.7
1-Jun-18,1230.4
4-Jun-18,1221.1
5-Jun-18,1242
6-Jun-18,1225.2
7-Jun-18,1238
8-Jun-18,1248
11-Jun-18,1265.55
12-Jun-18,1265.75
13-Jun-18,1266.8
14-Jun-18,1253
15-Jun-18,1237
18-Jun-18,1284
19-Jun-18,1263
20-Jun-18,1248.5
21-Jun-18,1245.95
22-Jun-18,1243
25-Jun-18,1257.15
26-Jun-18,1269
