Date,Open Price
3-Jan-00,15625
4-Jan-00,16800
5-Jan-00,15701
6-Jan-00,15256.65
7-Jan-00,13125.5
10-Jan-00,13125.5
11-Jan-00,13200
12-Jan-00,11950
13-Jan-00,13100
14-Jan-00,12249
17-Jan-00,12200
18-Jan-00,11739.7
19-Jan-00,12546
20-Jan-00,13200
21-Jan-00,12900
24-Jan-00,13600
25-Jan-00,13800
27-Jan-00,7570
28-Jan-00,7426
31-Jan-00,7535.5
1-Feb-00,7250
2-Feb-00,7590
3-Feb-00,7416
4-Feb-00,7475
7-Feb-00,7899
8-Feb-00,8495
9-Feb-00,9399
10-Feb-00,8799
11-Feb-00,9269
14-Feb-00,10741.45
15-Feb-00,10741.45
16-Feb-00,10050
17-Feb-00,10000
18-Feb-00,10419
21-Feb-00,9850
22-Feb-00,10339
23-Feb-00,10500
24-Feb-00,9390
25-Feb-00,9400
28-Feb-00,8900
29-Feb-00,8600
1-Mar-00,9099
2-Mar-00,10134.75
3-Mar-00,11059.55
6-Mar-00,11939.65
7-Mar-00,12800
8-Mar-00,13450
9-Mar-00,12690
10-Mar-00,12099
13-Mar-00,11700
14-Mar-00,10210
15-Mar-00,9131
16-Mar-00,9600
21-Mar-00,9195
22-Mar-00,9700
23-Mar-00,10960
24-Mar-00,10110
27-Mar-00,10500
28-Mar-00,10101
29-Mar-00,10200
30-Mar-00,9900
31-Mar-00,9600
3-Apr-00,8501
4-Apr-00,7592.35
5-Apr-00,7051
6-Apr-00,7852
7-Apr-00,9088.55
10-Apr-00,9815.65
11-Apr-00,9815.65
12-Apr-00,10390
13-Apr-00,9900.05
17-Apr-00,8529.2
18-Apr-00,8529.2
19-Apr-00,8474
20-Apr-00,6802
24-Apr-00,7798
25-Apr-00,7216
26-Apr-00,7742.85
27-Apr-00,7990
28-Apr-00,8100
2-May-00,8250
3-May-00,7350
4-May-00,7690
5-May-00,8230
8-May-00,8599
9-May-00,7501
10-May-00,7950
11-May-00,7610
12-May-00,7150
15-May-00,6805
16-May-00,6999
17-May-00,7166.6
18-May-00,6950
19-May-00,6900.15
22-May-00,6258
23-May-00,5800.05
24-May-00,5901
25-May-00,6090
26-May-00,6085
29-May-00,5912
30-May-00,5925
31-May-00,6679
1-Jun-00,6950
2-Jun-00,7040
5-Jun-00,7600
6-Jun-00,8052
7-Jun-00,7850
8-Jun-00,7845
9-Jun-00,7949.9
12-Jun-00,7825
13-Jun-00,7701.15
14-Jun-00,7689
15-Jun-00,7802
16-Jun-00,8201
19-Jun-00,8400
20-Jun-00,8535
21-Jun-00,8900
22-Jun-00,8500
23-Jun-00,8496
26-Jun-00,8200.05
27-Jun-00,8179
28-Jun-00,8100
29-Jun-00,8269
30-Jun-00,8306
3-Jul-00,8390
4-Jul-00,8620
5-Jul-00,8788
6-Jul-00,8565
7-Jul-00,8489.9
10-Jul-00,8510
11-Jul-00,8333
12-Jul-00,8275
13-Jul-00,8448
14-Jul-00,7900.05
17-Jul-00,7750
18-Jul-00,7697
19-Jul-00,7100.6
20-Jul-00,7291
21-Jul-00,7374.45
24-Jul-00,7262
25-Jul-00,6500
26-Jul-00,7268
27-Jul-00,6600
28-Jul-00,6825
31-Jul-00,6850
1-Aug-00,6840
2-Aug-00,6624
3-Aug-00,6580
4-Aug-00,6411
7-Aug-00,6369
8-Aug-00,6490
9-Aug-00,7690
10-Aug-00,7510
11-Aug-00,7237
14-Aug-00,7295
16-Aug-00,7425
17-Aug-00,7768
18-Aug-00,7552.2
21-Aug-00,7999
22-Aug-00,7985
23-Aug-00,8143
24-Aug-00,8000
25-Aug-00,8275
28-Aug-00,8140
29-Aug-00,7750.05
30-Aug-00,7801
31-Aug-00,7825
4-Sep-00,8400
5-Sep-00,8620
6-Sep-00,8412
7-Sep-00,8285
8-Sep-00,8390
11-Sep-00,8600
12-Sep-00,8700
13-Sep-00,8808
14-Sep-00,8725
15-Sep-00,8511
18-Sep-00,8452
19-Sep-00,7905
20-Sep-00,7850
21-Sep-00,7747
22-Sep-00,7526
25-Sep-00,7329
26-Sep-00,7650
27-Sep-00,7200
28-Sep-00,7441
29-Sep-00,7413
3-Oct-00,7325
4-Oct-00,7300
5-Oct-00,7585
6-Oct-00,7480
9-Oct-00,7500
10-Oct-00,7449
11-Oct-00,7100
12-Oct-00,6790
13-Oct-00,6720
16-Oct-00,6559
17-Oct-00,6477
18-Oct-00,6359.95
19-Oct-00,6206
20-Oct-00,6800
23-Oct-00,7114.8
24-Oct-00,6832
25-Oct-00,7249
26-Oct-00,7140
27-Oct-00,7169
30-Oct-00,7239
31-Oct-00,7101.1
1-Nov-00,7349.9
2-Nov-00,7320
3-Nov-00,7430
6-Nov-00,7569
7-Nov-00,7551
8-Nov-00,7700
9-Nov-00,7921
10-Nov-00,7910.05
13-Nov-00,7730
14-Nov-00,7327
15-Nov-00,7785
16-Nov-00,7601
17-Nov-00,7511
20-Nov-00,7680
21-Nov-00,7630
22-Nov-00,7751
23-Nov-00,7406
24-Nov-00,7459
27-Nov-00,7498
28-Nov-00,7560
29-Nov-00,7368.65
30-Nov-00,7390
1-Dec-00,7150
4-Dec-00,7310
5-Dec-00,7185
6-Dec-00,7600
7-Dec-00,7260
8-Dec-00,7261.3
11-Dec-00,7395
12-Dec-00,7480
13-Dec-00,7498.9
14-Dec-00,7625
